mode,device_id,slice_name,latency_ms,throughput_mbps,packet_loss_pct
psdas_no_prediction,1,URLLC,36.482,0.215,1.192
psdas_no_prediction,2,eMBB,133.555,0.132,5.513
psdas_no_prediction,3,eMBB,87.992,11.299,2.846
psdas_no_prediction,4,mMTC,332.324,0.21,8.168
psdas_no_prediction,5,eMBB,115.576,2.265,4.415
psdas_no_prediction,6,mMTC,332.688,0.293,8.096
psdas_no_prediction,7,eMBB,133.64,0.018,5.376
psdas_no_prediction,8,URLLC,22.336,1.107,0.521
psdas_no_prediction,9,eMBB,116.683,0.02,4.439
psdas_no_prediction,10,mMTC,287.605,0.163,6.585
psdas_no_prediction,11,eMBB,135.925,0.068,5.532
psdas_no_prediction,12,mMTC,331.54,0.022,8.212
psdas_no_prediction,13,eMBB,135.041,8.612,5.495
psdas_no_prediction,14,eMBB,118.517,3.265,4.296
psdas_no_prediction,15,eMBB,133.056,11.141,5.538
psdas_no_prediction,16,eMBB,133.74,4.981,5.55
psdas_no_prediction,17,URLLC,30.703,6.043,1.005
psdas_no_prediction,18,eMBB,133.681,0.242,5.421
psdas_no_prediction,19,URLLC,37.777,0.142,1.101
psdas_no_prediction,20,eMBB,116.448,4.997,4.442
psdas_no_prediction,21,URLLC,32.997,6.168,0.947
psdas_no_prediction,22,mMTC,331.901,0.023,8.151
psdas_no_prediction,23,URLLC,23.791,1.585,0.696
psdas_no_prediction,24,mMTC,334.716,0.149,8.202
psdas_no_prediction,25,eMBB,116.047,7.04,4.407
psdas_no_prediction,26,eMBB,132.539,0.237,5.472
psdas_no_prediction,27,URLLC,34.801,0.077,1.157
psdas_no_prediction,28,URLLC,23.402,0.263,0.636
psdas_no_prediction,29,eMBB,132.748,10.403,5.536
psdas_no_prediction,30,mMTC,331.671,0.145,8.168
psdas_no_prediction,31,mMTC,333.432,0.26,8.217
psdas_no_prediction,32,URLLC,36.823,0.133,1.072
psdas_no_prediction,33,mMTC,332.435,0.115,8.16
psdas_no_prediction,34,eMBB,117.241,7.613,4.327
psdas_no_prediction,35,mMTC,334.234,0.055,8.197
psdas_no_prediction,36,eMBB,135.499,10.053,5.377
psdas_no_prediction,37,eMBB,134.343,0.24,5.451
psdas_no_prediction,38,mMTC,291.157,0.021,6.565
psdas_no_prediction,39,eMBB,114.912,5.12,4.315
psdas_no_prediction,40,URLLC,30.562,0.03,0.96
psdas_no_prediction,41,eMBB,115.112,0.059,4.451
psdas_no_prediction,42,URLLC,31.608,5.638,0.921
psdas_no_prediction,43,mMTC,331.49,0.105,8.107
psdas_no_prediction,44,URLLC,34.99,0.037,1.053
psdas_no_prediction,45,mMTC,331.543,0.072,8.175
psdas_no_prediction,46,URLLC,22.405,2.232,0.65
psdas_no_prediction,47,eMBB,117.447,0.211,4.302
psdas_no_prediction,48,eMBB,115.879,7.425,4.452
psdas_no_prediction,49,URLLC,25.046,2.045,0.671
psdas_no_prediction,50,URLLC,34.942,0.168,1.169
psdas_no_prediction,51,URLLC,30.743,4.57,0.936
psdas_no_prediction,52,mMTC,332.787,0.269,8.178
psdas_no_prediction,53,mMTC,287.744,0.244,6.586
psdas_no_prediction,54,URLLC,24.405,1.923,0.498
psdas_no_prediction,55,URLLC,37.123,0.015,1.13
psdas_no_prediction,56,URLLC,34.943,0.207,1.224
psdas_no_prediction,57,eMBB,133.344,3.906,5.39
psdas_no_prediction,58,mMTC,290.586,7.551,6.525
psdas_no_prediction,59,eMBB,134.04,0.172,5.39
psdas_no_prediction,60,eMBB,134.516,0.045,5.467
psdas_no_prediction,61,eMBB,117.403,0.138,4.387
psdas_no_prediction,62,eMBB,89.746,12.453,2.849
psdas_no_prediction,63,URLLC,36.758,0.09,1.156
psdas_no_prediction,64,mMTC,288.497,4.781,6.552
psdas_no_prediction,65,URLLC,34.521,9.457,1.102
psdas_no_prediction,66,mMTC,290.032,6.54,6.414
psdas_no_prediction,67,eMBB,134.535,2.957,5.514
psdas_no_prediction,68,URLLC,35.482,0.193,1.128
psdas_no_prediction,69,eMBB,114.904,5.348,4.313
psdas_no_prediction,70,mMTC,331.313,6.832,8.134
psdas_no_prediction,71,eMBB,114.93,0.149,4.313
psdas_no_prediction,72,URLLC,35.201,0.03,1.206
psdas_no_prediction,73,mMTC,290.617,11.321,6.409
psdas_no_prediction,74,mMTC,288.414,5.755,6.505
psdas_no_prediction,75,eMBB,132.887,0.075,5.551
psdas_no_prediction,76,eMBB,116.67,9.683,4.339
psdas_no_prediction,77,eMBB,87.792,10.893,2.803
psdas_no_prediction,78,URLLC,34.383,2.732,1.078
psdas_no_prediction,79,URLLC,37.143,0.07,1.222
psdas_no_prediction,80,mMTC,288.298,0.042,6.517
psdas_no_prediction,81,URLLC,29.946,0.19,0.962
psdas_no_prediction,82,eMBB,116.911,1.11,4.421
psdas_no_prediction,83,URLLC,24.656,0.912,0.566
psdas_no_prediction,84,mMTC,333.102,0.044,8.196
psdas_no_prediction,85,eMBB,132.758,0.015,5.39
psdas_no_prediction,86,mMTC,330.92,0.155,8.065
psdas_no_prediction,87,mMTC,331.467,0.031,8.182
psdas_no_prediction,88,URLLC,24.421,2.433,0.582
psdas_no_prediction,89,mMTC,331.942,0.196,8.047
psdas_no_prediction,90,URLLC,34.682,0.175,1.037
psdas_no_prediction,91,URLLC,33.094,0.14,0.939
psdas_no_prediction,92,mMTC,290.594,0.038,6.523
psdas_no_prediction,93,URLLC,24.543,1.312,0.59
psdas_no_prediction,94,URLLC,29.911,9.525,0.913
psdas_no_prediction,95,eMBB,133.304,0.097,5.468
psdas_no_prediction,96,URLLC,25.309,0.932,0.551
psdas_no_prediction,97,eMBB,133.639,0.163,5.47
psdas_no_prediction,98,URLLC,31.338,0.018,0.838
psdas_no_prediction,99,mMTC,288.111,0.149,6.539
psdas_no_prediction,100,eMBB,117.831,0.197,4.425
psdas_no_prediction,101,eMBB,117.699,6.492,4.304
psdas_no_prediction,102,eMBB,117.185,0.256,4.283
psdas_no_prediction,103,URLLC,22.33,0.64,0.687
psdas_no_prediction,104,URLLC,23.545,2.098,0.519
psdas_no_prediction,105,eMBB,134.809,0.135,5.464
psdas_no_prediction,106,mMTC,288.962,0.252,6.503
psdas_no_prediction,107,URLLC,24.976,0.323,0.573
psdas_no_prediction,108,URLLC,30.097,2.058,0.95
psdas_no_prediction,109,eMBB,117.006,9.945,4.304
psdas_no_prediction,110,eMBB,133.373,0.05,5.552
psdas_no_prediction,111,eMBB,86.744,5.031,2.834
psdas_no_prediction,112,URLLC,21.925,2.067,0.637
psdas_no_prediction,113,mMTC,333.31,0.215,8.1
psdas_no_prediction,114,mMTC,289.354,0.094,6.399
psdas_no_prediction,115,eMBB,133.399,0.165,5.479
psdas_no_prediction,116,eMBB,114.902,2.556,4.398
psdas_no_prediction,117,mMTC,332.343,0.087,8.119
psdas_no_prediction,118,eMBB,133.658,0.127,5.496
psdas_no_prediction,119,mMTC,332.841,0.016,8.166
psdas_no_prediction,120,mMTC,333.861,0.168,8.078
psdas_no_prediction,121,mMTC,291.316,9.56,6.583
psdas_no_prediction,122,mMTC,332.945,0.067,8.201
psdas_no_prediction,123,mMTC,290.249,11.231,6.595
psdas_no_prediction,124,eMBB,89.771,2.906,2.8
psdas_no_prediction,125,eMBB,118.176,0.281,4.453
psdas_no_prediction,126,eMBB,116.353,9.242,4.338
psdas_no_prediction,127,URLLC,29.352,4.973,0.898
psdas_no_prediction,128,mMTC,333.645,9.003,8.175
psdas_no_prediction,129,eMBB,117.726,3.738,4.469
psdas_no_prediction,130,eMBB,87.037,10.555,2.897
psdas_no_prediction,131,eMBB,115.977,9.009,4.406
psdas_no_prediction,132,URLLC,31.561,0.185,0.995
psdas_no_prediction,133,URLLC,25.235,2.067,0.537
psdas_no_prediction,134,mMTC,331.266,0.236,8.211
psdas_no_prediction,135,mMTC,332.12,0.198,8.073
psdas_no_prediction,136,eMBB,133.037,8.465,5.426
psdas_no_prediction,137,URLLC,29.424,1.11,1.0
psdas_no_prediction,138,mMTC,289.534,0.055,6.499
psdas_no_prediction,139,eMBB,133.333,0.228,5.525
psdas_no_prediction,140,URLLC,36.858,0.155,1.105
psdas_no_prediction,141,URLLC,30.729,0.083,0.902
psdas_no_prediction,142,mMTC,289.636,2.13,6.42
psdas_no_prediction,143,URLLC,35.727,0.163,1.228
psdas_no_prediction,144,mMTC,288.412,4.469,6.517
psdas_no_prediction,145,URLLC,29.753,0.152,0.862
psdas_no_prediction,146,URLLC,37.638,8.328,1.205
psdas_no_prediction,147,mMTC,332.288,0.134,8.204
psdas_no_prediction,148,mMTC,289.603,7.851,6.533
psdas_no_prediction,149,URLLC,31.952,0.205,0.935
psdas_no_prediction,150,URLLC,35.261,6.362,1.166
psdas_no_prediction,151,URLLC,22.074,0.557,0.637
